tache,index,prefix,ids,textes
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_0086 HDPAR-HD_rs_0087,"Adam, presbyter . || Adam, presbyter ."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_0091 HDPAR-HD_rs_0092,Adam Anglicus . || Adam Anglicus .
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0041 SAPC-AB_rs_0042,"Aelidis: Saint-Antoine-des-Champs, acte 317; v. Petrus Prepositus de Campaniis, maritus ejus. || Aelidis: Saint-Antoine-des-Champs, acte 365; v. Ricaudis dou Perier, mater ejus."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0045 SAPC-AB_rs_0046 SAPC-AB_rs_0048 SAPC-AB_rs_0049 SAPC-AB_rs_0050 SAPC-AB_rs_0051 SAPC-AB_rs_0052 SAPC-AB_rs_0053 SAPC-AB_rs_0054 SAPC-AB_rs_0056 SAPC-AB_rs_0058 SAPC-AB_rs_0059 SAPC-AB_rs_0060 SAPC-AB_rs_0063,"Agnes: Saint-Antoine-des-Champs, acte 196; v. Aalicia Caligaria, mater ejus, Baldoinus Picart, maritus ejus. || Agnes: Saint-Antoine-des-Champs, acte 193, Saint-Antoine-des-Champs, acte 219, Saint-Antoine-des-Champs, acte 207; v. Droco de Monte Firmiolo, Adam, J || Agnes: Saint-Antoine-des-Champs, acte 315, Saint-Antoine-des-Champs, acte 328; v. Ferricus, marescallus Francie, maritus ejus. || Agnes: Saint-Antoine-des-Champs, acte 345; v. Guido de Boubiez, maritus ejus. || Agnes: Saint-Antoine-des-Champs, acte 231; v. Guillermus, filius ejus, Guido de Fontenellis, (secundus) maritus ejus. || Agnes: Saint-Antoine-des-Champs, acte 31; v. Guillelmus de Monte Fermel, maritus ejus. || Agnes: Saint-Antoine-des-Champs, acte 292 ; v. Haymericus Philippi, maritus ejus. || Agnes: Saint-Antoine-des-Champs, acte 39; v. Johannes de Bello Fonte, pater ejus. || Agnes: Saint-Antoine-des-Champs, acte 10; v. Johannes de Semevilla, maritus ejus. || Agnes: Saint-Antoine-des-Champs, acte 69, Saint-Antoine-des-Champs, acte 70; v. Petrus de Bobez, maritus ejus. || Agnes: Saint-Antoine-des-Champs, acte 64; v. Petrus de Floriaco, maritus ejus. || Agnes: Saint-Antoine-des-Champs, acte 146, Saint-Antoine-des-Champs, acte 346; v. Petrus le Ber, maritus ejus. || Agnes: Saint-Antoine-des-Champs, acte 87, Saint-Antoine-des-Champs, acte 88; v. Robertus le Ber, maritus ejus. || Agnes: Saint-Antoine-des-Champs, acte 95; v. Thiboldus de Bri, maritus ejus."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0086 SAPC-AB_rs_0087,"Amicia: Saint-Antoine-des-Champs, acte 49; v. Johannis Briart, maritus ejus. || Amicia: Saint-Antoine-des-Champs, acte 7, Saint-Antoine-des-Champs, acte 12; v. Reginaldus de Saveniaco, maritus ejus."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_0321 HDPAR-HD_rs_0322,Andreas de Villa Nova . || Andreas de Villa Nova .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_0335 HDPAR-HD_rs_0336,Anglicus (Adam) . || Anglicus (Adam) .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_0342 HDPAR-HD_rs_0343 HDPAR-HD_rs_0344,Anglicus (Galterus) . || Anglicus (Galterus) . || Anglicus (Galterus) .
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0099 SMPA-AB-03_rs_0100,"Argenteuil (Jean d’), tavernier, Jehan d’Argentueil , Saint-Magloire, tome III, acte 98 note 1. || Argenteuil (Jean d’), Jehan d’Argentueil, Saint-Magloire, tome III, acte 138 ; — (Gile d’), sa veuve, Gille d’Argentueil ."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_0117 SMPA-AB-03_rs_0118,"Arrode (Jean), changeur, Jehan Arrode , Saint-Magloire, tome III, acte 78 note 1; — Agnès, sa femme . || Arrode (Jean), Jehan Arrode, Saint-Magloire, tome III, acte 145."
