index,prefix,identite,ids,textes
PERSONNES,HDPAR-HD,"adam, presbyter",HDPAR-HD_rs_0086 HDPAR-HD_rs_0087,"Adam, presbyter . || Adam, presbyter ."
PERSONNES,HDPAR-HD,adam anglicus,HDPAR-HD_rs_0091 HDPAR-HD_rs_0092,Adam Anglicus . || Adam Anglicus .
PERSONNES,HDPAR-HD,andreas de villa nova,HDPAR-HD_rs_0321 HDPAR-HD_rs_0322,Andreas de Villa Nova . || Andreas de Villa Nova .
PERSONNES,HDPAR-HD,anglicus (adam,HDPAR-HD_rs_0335 HDPAR-HD_rs_0336,Anglicus (Adam) . || Anglicus (Adam) .
PERSONNES,HDPAR-HD,anglicus (galterus,HDPAR-HD_rs_0342 HDPAR-HD_rs_0343 HDPAR-HD_rs_0344,Anglicus (Galterus) . || Anglicus (Galterus) . || Anglicus (Galterus) .
PERSONNES,SMPO-AB,"aubert, sous-diacre",SMPO-AB_rs_0135 SMPO-AB_rs_0137,"Aubert, sous-diacre . || Aubert, sous-diacre ."
PERSONNES,HDPAR-HD,auda,HDPAR-HD_rs_0483 HDPAR-HD_rs_0484 HDPAR-HD_rs_0485,Auda . || Auda . || Auda .
PERSONNES,SCOR-EG,bartholomeus,SCOR-EG_rs_0321 SCOR-EG_rs_0322 SCOR-EG_rs_0323,"Bartholomeus, p. Sainte-Croix d'Orléans, acte 75. || Bartholomeus, p. Sainte-Croix d'Orléans, acte 72. || Bartholomeus, p. Sainte-Croix d'Orléans, acte 45."
PERSONNES,SMPA-AB-01,"baudouin, abbé de",SMPA-AB-01_rs_0234 SMPA-AB-01_rs_0235,"Baudouin, abbé de Saint-Magloire, Balduinus , Saint-Magloire, tome I, acte 34, Saint-Magloire, tome I, acte 35, Saint-Magloire, tome I, acte || Baudouin, abbé de Saint-Vincent de Senlis, Saint-Magloire, tome I, acte 32."
PERSONNES,SMPA-AB-02,"boquet ou bouquet († johannes), fermier de",SMPA-AB-02_rs_0379 SMPA-AB-02_rs_0380,"Boquet ou Bouquet († Johannes), fermier de Saint-Magloire, père du curé de Saint-Léger-en-Laye, Saint-Magloire, tome II, acte 113. || Boquet ou Bouquet († Johannes), fermier de Saint-Magloire, père du curé de Saint-Léger-en-Laye; Bertaudus, son frère, fermier de Saint-Maglo"
PERSONNES,HDPAR-HD,boucelli (jacobus,HDPAR-HD_rs_0914 HDPAR-HD_rs_0915,"Boucelli (Jacobus) . || Boucelli (Jacobus), C 479."
PERSONNES,NDVC-AB,"busco, (hugo de), p., vaux-de-cernay",NDVC-AB_rs_0845 NDVC-AB_rs_0847,"Busco, (Hugo de), p., Vaux-de-Cernay, acte 24. || Busco, (Hugo de), p., Vaux-de-Cernay, acte 26."
PERSONNES,HDPAR-HD,castelleto (hubertus de,HDPAR-HD_rs_1156 HDPAR-HD_rs_1157,Castelleto (Hubertus de) . || Castelleto (Hubertus de) .
PERSONNES,HDPAR-HD,corbolio (johannes de,HDPAR-HD_rs_1534 HDPAR-HD_rs_1535,"Corbolio (Johannes de) . || Corbolio (Johannes de), C 490."
PERSONNES,HDPAR-HD,cruce (guillelmus de,HDPAR-HD_rs_1617 HDPAR-HD_rs_1618,Cruce (Guillelmus de) . || Cruce (Guillelmus de) .
PERSONNES,SCHA-PR,doyen de,SCHA-PR_rs_177 SCHA-PR_rs_179,"Doyen de Saint-Frambauld, Saint-Christophe-en-Halatte, acte 9. || Doyen de Saint-Pierre de Beauvais, Saint-Christophe-en-Halatte, acte 50."
PERSONNES,SMPA-AB-03,drouart (vincent,SMPA-AB-03_rs_1260 SMPA-AB-03_rs_1261,"Drouart (Vincent), Saint-Magloire, tome III, acte 73. || Drouart (Vincent), Saint-Magloire, tome III, acte 170, n. dors., Saint-Magloire, tome III, acte 202, n. dors."
PERSONNES,SMPA-EG,erembourg de,SMPA-EG_rs_0521 SMPA-EG_rs_0522,Erembourg de Saint-Laurent . || Erembourg de Saint-Leu .
PERSONNES,HDPAR-HD,faber (johannes,HDPAR-HD_rs_1920 HDPAR-HD_rs_1921 HDPAR-HD_rs_1922,Faber (Johannes) . || Faber (Johannes) . || Faber (Johannes) .
PERSONNES,SMPO-AB,galon de chaumont,SMPO-AB_rs_0471 SMPO-AB_rs_0472,Galon de Chaumont . || Galon de Chaumont .
PERSONNES,HDPAR-HD,galterus anglicus,HDPAR-HD_rs_2142 HDPAR-HD_rs_2143 HDPAR-HD_rs_2144,Galterus Anglicus . || Galterus Anglicus . || Galterus Anglicus .
PERSONNES,HDPAR-HD,gaufridus de vere magno,HDPAR-HD_rs_2270 HDPAR-HD_rs_2271,Gaufridus de Vere Magno . || Gaufridus de Vere Magno .
PERSONNES,SMPO-AB,gautier de cléry,SMPO-AB_rs_0542 SMPO-AB_rs_0543,Gautier de Cléry . || Gautier de Cléry .
PERSONNES,HDPAR-HD,guido de petra lata,HDPAR-HD_rs_2568 HDPAR-HD_rs_2569,Guido de Petra Lata . || Guido de Petra Lata .
PERSONNES,SMPO-AB,"guillaume, abbé de",SMPO-AB_rs_0720 SMPO-AB_rs_0719,"Guillaume, abbé de Saint-Denis . || Guillaume, abbé de Saint-Martin ."
PERSONNES,HDPAR-HD,guillelmus,HDPAR-HD_rs_2593 HDPAR-HD_rs_2594,Guillelmus . || Guillelmus .
PERSONNES,HDPAR-HD,"guillelmus, archidiaconus in ecclesia parisiensi",HDPAR-HD_rs_2596 HDPAR-HD_rs_2597,"Guillelmus, archidiaconus in ecclesia Parisiensi . || Guillelmus, archidiaconus in ecclesia Parisiensi ."
PERSONNES,HDPAR-HD,"guillelmus, episcopus parisiensis",HDPAR-HD_rs_2607 HDPAR-HD_rs_2608,"Guillelmus, episcopus Parisiensis . || Guillelmus, episcopus Parisiensis ."
PERSONNES,HDPAR-HD,guillelmus de cruce,HDPAR-HD_rs_2671 HDPAR-HD_rs_2672,Guillelmus de Cruce . || Guillelmus de Cruce .
PERSONNES,HDPAR-HD,"guillelmus de vere magno, miles",HDPAR-HD_rs_2707 HDPAR-HD_rs_2708,"Guillelmus de Vere Magno, miles . || Guillelmus de Vere Magno, miles ."
PERSONNES,HDPAR-HD,guillelmus de viriaco,HDPAR-HD_rs_2713 HDPAR-HD_rs_2714,Guillelmus de Viriaco . || Guillelmus de Viriaco .
PERSONNES,HDPAR-HD,guillelmus scotus,HDPAR-HD_rs_2758 HDPAR-HD_rs_2759,Guillelmus Scotus . || Guillelmus Scotus .
PERSONNES,HDPAR-HD,"hamericus, archidiaconus in ecclesia parisiensi",HDPAR-HD_rs_2796 HDPAR-HD_rs_2797,"Hamericus, archidiaconus in ecclesia Parisiensi . || Hamericus, archidiaconus in ecclesia Parisiensi ."
PERSONNES,SMPO-AB,henri deliés,SMPO-AB_rs_0844 SMPO-AB_rs_0845,Henri Deliés . || Henri Deliés .
PERSONNES,HDPAR-HD,henricus de sancto marcello,HDPAR-HD_rs_2929 HDPAR-HD_rs_2930,Henricus de Sancto Marcello . || Henricus de Sancto Marcello .
PERSONNES,SMPO-AB,herbert de,SMPO-AB_rs_0874 SMPO-AB_rs_0875,Herbert de Saint-André . || Herbert de Saint-Martin .
PERSONNES,HDPAR-HD,hubertus de castelleto,HDPAR-HD_rs_3071 HDPAR-HD_rs_3072,Hubertus de Castelleto . || Hubertus de Castelleto .
PERSONNES,SMPO-AB,"hugues, abbé de",SMPO-AB_rs_0924 SMPO-AB_rs_0925,"Hugues, abbé de Saint-Denis . || Hugues, abbé de Saint-Germer ."
PERSONNES,SMPA-AB-03,image,SMPA-AB-03_rs_1916 SMPA-AB-03_rs_1917 SMPA-AB-03_rs_1918 SMPA-AB-03_rs_1922 SMPA-AB-03_rs_1924 SMPA-AB-03_rs_1926,"Image Saint-Antoine (maison de l’), plus tard des Quatre Vents, à l’angle des rues du Bourg-l’Abbé et Greneta, Saint-Magloire, tome III, act || Image Saint-Claude (maison de l’), rue Saint-Denis, Saint-Magloire, tome III, acte 72, note 1, Saint-Magloire, tome III, acte 80, n. dors.,  || Image Saint-Jacques (maison de l’), rue de la Chanvrerie, Saint-Magloire, tome III, acte 56, Saint-Magloire, tome III, acte 175, n. dors. || Image Saint-Michel (maison de l’), rue du Bourg-l’Abbé, Saint-Magloire, tome III, acte 194, note 2. || Image Saint-Nicolas (maison de l’), rue de la Montagne Sainte-Geneviève, Saint-Magloire, tome III, acte 153, note 2. || Image Saint-Pierre (maison de l’), appelée au XVe siècle le Soufflet et le Boisseau, rue Saint-Denis , Saint-Magloire, tome III, acte 65 not"
PERSONNES,HDPAR-HD,jacobus boucelli,HDPAR-HD_rs_3233 HDPAR-HD_rs_3234,"Jacobus Boucelli . || Jacobus Boucelli, C 479."
PERSONNES,SMPA-EG,jean de,SMPA-EG_rs_1068 SMPA-EG_rs_1069,Jean de Saint-Quentin . || Jean de Saint-Thibaut .
PERSONNES,SMPO-AB,jean valet,SMPO-AB_rs_1079 SMPO-AB_rs_1080,Jean Valet . || Jean Valet .
PERSONNES,HDPAR-HD,johannes de corbolio,HDPAR-HD_rs_3473 HDPAR-HD_rs_3474,"Johannes de Corbolio . || Johannes de Corbolio, C 490."
PERSONNES,HDPAR-HD,johannes faber,HDPAR-HD_rs_3571 HDPAR-HD_rs_3572 HDPAR-HD_rs_3573,Johannes Faber . || Johannes Faber . || Johannes Faber .
PERSONNES,HDPAR-HD,johannes lecot,HDPAR-HD_rs_3593 HDPAR-HD_rs_3594,Johannes Lecot . || Johannes Lecot .
PERSONNES,HDPAR-HD,johannes major,HDPAR-HD_rs_3603 HDPAR-HD_rs_3604,Johannes Major . || Johannes Major .
PERSONNES,HDPAR-HD,johannes normannus,HDPAR-HD_rs_3614 HDPAR-HD_rs_3615,"Johannes Normannus , C 488. || Johannes Normannus ."
PERSONNES,HDPAR-HD,lecot (johannes,HDPAR-HD_rs_3757 HDPAR-HD_rs_3758,Lecot (Johannes) . || Lecot (Johannes) .
PERSONNES,SMPA-AB-02,"maigremain († jean), alias de",SMPA-AB-02_rs_1856 SMPA-AB-02_rs_1859 SMPA-AB-02_rs_1858,"Maigremain († Jean), alias de Saint-Denis, Johannes Megremain, Saint-Magloire, tome II, acte 16, Saint-Magloire, tome II, acte 58 ; Johannes || Maigremain († Jean), alias de Saint-Denis, Johannes Megremain; Jacquet, son fils mineur, Jaquetus; Jeannot, son autre fils mineur, Jehannotu || Maigremain († Jean), alias de Saint-Denis, Johannes Megremain; Robert ou Robin, son fils aîné, moine de Saint-Magloire, frater Robertus ou R"
PERSONNES,HDPAR-HD,major (johannes,HDPAR-HD_rs_3921 HDPAR-HD_rs_3922,Major (Johannes) . || Major (Johannes) .
PERSONNES,HDPAR-HD,milo,HDPAR-HD_rs_4304 HDPAR-HD_rs_4305,Milo . || Milo .
PERSONNES,HDPAR-HD,moreto (stephanus de,HDPAR-HD_rs_4429 HDPAR-HD_rs_4430,"Moreto (Stephanus de) . || Moreto (Stephanus de) , C 495. — Moret : Seine-et-Marne, arr. Fontainebleau, chef-lieu de canton."
PERSONNES,SMPA-AB-02,munier (guillaume le,SMPA-AB-02_rs_2159 SMPA-AB-02_rs_2160,"Munier (Guillaume le), Saint-Magloire, tome II, acte 355. || Munier (Guillaume le), Saint-Magloire, tome II, acte 288 ; — son moulin du Pont-aux-Meuniers, Saint-Magloire, tome II, acte 285, Saint-Maglo"
PERSONNES,HDPAR-HD,"nemore (radulphus de), miles",HDPAR-HD_rs_4503 HDPAR-HD_rs_4504,"Nemore (Radulphus de), miles . || Nemore (Radulphus de), miles ."
PERSONNES,HDPAR-HD,normannus (johannes,HDPAR-HD_rs_4607 HDPAR-HD_rs_4608,"Normannus (Johannes) , C 488. || Normannus (Johannes) ."
PERSONNES,SMPA-AB-01,odo,SMPA-AB-01_rs_1675 SMPA-AB-01_rs_1676,"Odo, Saint-Magloire, tome I, acte 16. || Odo, Saint-Magloire, tome I, acte 29."
PERSONNES,HDPAR-HD,"odo, archidiaconus in ecclesia parisiensi",HDPAR-HD_rs_4682 HDPAR-HD_rs_4683,"Odo, archidiaconus in ecclesia Parisiensi . || Odo, archidiaconus in ecclesia Parisiensi ."
PERSONNES,HDPAR-HD,"odo de vere magno, miles",HDPAR-HD_rs_4719 HDPAR-HD_rs_4720,"Odo de Vere Magno, miles . || Odo de Vere Magno, miles ."
PERSONNES,SMPO-AB,orielde,SMPO-AB_rs_0570 SMPO-AB_rs_1204,Orielde . || Orielde .
PERSONNES,HDPAR-HD,pelliparius (richardus,HDPAR-HD_rs_5181 HDPAR-HD_rs_5182,"Pelliparius (Richardus) . || Pelliparius (Richardus), C 490."
PERSONNES,HDPAR-HD,periers (philippus de,HDPAR-HD_rs_5191 HDPAR-HD_rs_5192,"Periers (Philippus de) . || Periers (Philippus de), C 473."
PERSONNES,HDPAR-HD,"petrus, clericus",HDPAR-HD_rs_5265 HDPAR-HD_rs_5266,"Petrus, clericus . || Petrus, clericus ."
PERSONNES,HDPAR-HD,petrus de charenton,HDPAR-HD_rs_5341 HDPAR-HD_rs_5342,Petrus de Charenton . || Petrus de Charenton .
PERSONNES,HDPAR-HD,"petrus (frater), de domo dei",HDPAR-HD_rs_5268 HDPAR-HD_rs_5269,"Petrus (Frater), de Domo Dei . || Petrus (Frater), de Domo Dei ."
PERSONNES,HDPAR-HD,philippus de periers,HDPAR-HD_rs_5495 HDPAR-HD_rs_5496,"Philippus de Periers . || Philippus de Periers, C 473."
PERSONNES,HDPAR-HD,radulphus de compendio,HDPAR-HD_rs_5740 HDPAR-HD_rs_5741,Radulphus de Compendio . || Radulphus de Compendio .
PERSONNES,HDPAR-HD,"radulphus de nemore, miles",HDPAR-HD_rs_5746 HDPAR-HD_rs_5747,"Radulphus de Nemore, miles . || Radulphus de Nemore, miles ."
