index,prefix,descriptif_identique,ids,nb,textes
PERSONNES,HDPAR-HD,adam presbyter,HDPAR-HD_rs_0086 HDPAR-HD_rs_0087,2,"Adam, presbyter . || Adam, presbyter ."
PERSONNES,HDPAR-HD,adam anglicus,HDPAR-HD_rs_0091 HDPAR-HD_rs_0092,2,Adam Anglicus . || Adam Anglicus .
PERSONNES,HDPAR-HD,andreas de villa nova,HDPAR-HD_rs_0321 HDPAR-HD_rs_0322,2,Andreas de Villa Nova . || Andreas de Villa Nova .
PERSONNES,HDPAR-HD,anglicus adam,HDPAR-HD_rs_0335 HDPAR-HD_rs_0336,2,Anglicus (Adam) . || Anglicus (Adam) .
PERSONNES,HDPAR-HD,anglicus galterus,HDPAR-HD_rs_0342 HDPAR-HD_rs_0343 HDPAR-HD_rs_0344,3,Anglicus (Galterus) . || Anglicus (Galterus) . || Anglicus (Galterus) .
PERSONNES,SMPO-AB,aubert sous diacre,SMPO-AB_rs_0135 SMPO-AB_rs_0137,2,"Aubert, sous-diacre . || Aubert, sous-diacre ."
PERSONNES,HDPAR-HD,auda,HDPAR-HD_rs_0483 HDPAR-HD_rs_0484 HDPAR-HD_rs_0485,3,Auda . || Auda . || Auda .
PERSONNES,SCOR-EG,bartholomeus p,SCOR-EG_rs_0321 SCOR-EG_rs_0322 SCOR-EG_rs_0323,3,"Bartholomeus, p. Sainte-Croix d'Orléans, acte 75. || Bartholomeus, p. Sainte-Croix d'Orléans, acte 72. || Bartholomeus, p. Sainte-Croix d'Orléans, acte 45."
PERSONNES,HDPAR-HD,boucelli jacobus,HDPAR-HD_rs_0914 HDPAR-HD_rs_0915,2,"Boucelli (Jacobus) . || Boucelli (Jacobus), C 479."
PERSONNES,NDVC-AB,busco herbertus de p,NDVC-AB_rs_0844 NDVC-AB_rs_0846,2,"Busco, Herbertus de, p.. || Busco, Herbertus de, p., Vaux-de-Cernay, acte 24."
PERSONNES,NDVC-AB,busco hugo de p,NDVC-AB_rs_0845 NDVC-AB_rs_0847,2,"Busco, (Hugo de), p., Vaux-de-Cernay, acte 24. || Busco, (Hugo de), p., Vaux-de-Cernay, acte 26."
PERSONNES,HDPAR-HD,castelleto hubertus de,HDPAR-HD_rs_1156 HDPAR-HD_rs_1157,2,Castelleto (Hubertus de) . || Castelleto (Hubertus de) .
PERSONNES,HDPAR-HD,corbolio johannes de,HDPAR-HD_rs_1534 HDPAR-HD_rs_1535,2,"Corbolio (Johannes de) . || Corbolio (Johannes de), C 490."
PERSONNES,HDPAR-HD,cruce guillelmus de,HDPAR-HD_rs_1617 HDPAR-HD_rs_1618,2,Cruce (Guillelmus de) . || Cruce (Guillelmus de) .
PERSONNES,HDPAR-HD,faber johannes,HDPAR-HD_rs_1920 HDPAR-HD_rs_1921 HDPAR-HD_rs_1922,3,Faber (Johannes) . || Faber (Johannes) . || Faber (Johannes) .
PERSONNES,SMPO-AB,galon de chaumont,SMPO-AB_rs_0471 SMPO-AB_rs_0472,2,Galon de Chaumont . || Galon de Chaumont .
PERSONNES,HDPAR-HD,galterus anglicus,HDPAR-HD_rs_2142 HDPAR-HD_rs_2143 HDPAR-HD_rs_2144,3,Galterus Anglicus . || Galterus Anglicus . || Galterus Anglicus .
PERSONNES,HDPAR-HD,gaufridus de vere magno,HDPAR-HD_rs_2270 HDPAR-HD_rs_2271,2,Gaufridus de Vere Magno . || Gaufridus de Vere Magno .
PERSONNES,SMPO-AB,gautier de cléry,SMPO-AB_rs_0542 SMPO-AB_rs_0543,2,Gautier de Cléry . || Gautier de Cléry .
PERSONNES,HDPAR-HD,guido de petra lata,HDPAR-HD_rs_2568 HDPAR-HD_rs_2569,2,Guido de Petra Lata . || Guido de Petra Lata .
PERSONNES,HDPAR-HD,guillelmus,HDPAR-HD_rs_2593 HDPAR-HD_rs_2594,2,Guillelmus . || Guillelmus .
PERSONNES,HDPAR-HD,guillelmus archidiaconus in ecclesia parisiensi,HDPAR-HD_rs_2596 HDPAR-HD_rs_2597,2,"Guillelmus, archidiaconus in ecclesia Parisiensi . || Guillelmus, archidiaconus in ecclesia Parisiensi ."
PERSONNES,HDPAR-HD,guillelmus episcopus parisiensis,HDPAR-HD_rs_2607 HDPAR-HD_rs_2608,2,"Guillelmus, episcopus Parisiensis . || Guillelmus, episcopus Parisiensis ."
PERSONNES,HDPAR-HD,guillelmus moustarderius,HDPAR-HD_rs_2622 HDPAR-HD_rs_2737,2,"Guillelmus, moustarderius . || Guillelmus Moustarderius ."
PERSONNES,HDPAR-HD,guillelmus de cruce,HDPAR-HD_rs_2671 HDPAR-HD_rs_2672,2,Guillelmus de Cruce . || Guillelmus de Cruce .
