article,target,type,nom,statut,entree
SSCO-AB_censier_0003,SSCO-AB_censier_0003,PERS,Dominus Balduinus de Corbolio,NOUVEAU,"— Dominus Balduinus de Corbolio pro domo sua, 2 solidi."
SSCO-AB_censier_0003,SSCO-AB_censier_0003,PERS,Jaie Judeus,NOUVEAU,"— Jaie Judeus pro domo sua, 3 s."
SSCO-AB_censier_0003,SSCO-AB_censier_0003,PERS,Hugo de Nagi,NOUVEAU,"— Hugo de Nagi pro domo sua, 7 denarii."
SSCO-AB_censier_0003,SSCO-AB_censier_0003,LIEU,Domus Trinitatis,NOUVEAU,"— Domus Trinitatis, 12 d."
SSCO-AB_censier_0003,SSCO-AB_censier_0003,PERS,Isabel de claustro,NOUVEAU,"— Isabel de claustro, 16 d."
SSCO-AB_censier_0003,SSCO-AB_censier_0003,PERS,Anselius cantor,NOUVEAU,"— Anselius cantor, 3 s."
SSCO-AB_censier_0003,SSCO-AB_censier_0003,LIEU,Domus Sancte Crucis,NOUVEAU,"— Domus Sancte Crucis, 10 s."
SSCO-AB_censier_0003,SSCO-AB_censier_0003,LIEU,Domus (*) + Theolbaldi,NOUVEAU,"— Domus (*) + Theolbaldi, 18 d."
SSCO-AB_censier_0003,SSCO-AB_censier_0003,PERS,Stephanus Morel,NOUVEAU,"— Stephanus Morel, 18 d."
SSCO-AB_censier_0003,SSCO-AB_censier_0003,PERS,Guillelmus de Prunoi,NOUVEAU,"— Guillelmus de Prunoi, 3 s."
SSCO-AB_censier_0003,SSCO-AB_censier_0003,PERS,Hubertus capicerius (?) et Simon de Breia,NOUVEAU,"— Hubertus capicerius (?) et Simon de Breia, 16 d."
SSCO-AB_censier_0003,SSCO-AB_censier_0003,PERS,Dominus Stephanus de Moreto,NOUVEAU,"— Dominus Stephanus de Moreto, 2 s."
SSCO-AB_censier_0003,SSCO-AB_censier_p114_c3_14,LIEU,Domus Exuperii,NOUVEAU,"— Domus Exuperii, 6 d."
SSCO-AB_censier_0003,SSCO-AB_censier_p114_c3_14,PERS,Dominus Landricus,NOUVEAU,"— Dominus Landricus, 14 d."
SSCO-AB_censier_0003,SSCO-AB_censier_p114_c3_14,PERS,Dominus Robertus de Feritate,NOUVEAU,"— Dominus Robertus de Feritate, 14 d."
SSCO-AB_censier_0003,SSCO-AB_censier_p114_c3_14,PERS,Erembour Baudemende,NOUVEAU,"— Erembour Baudemende, 3 s., 3 d. minus."
SSCO-AB_censier_0003,SSCO-AB_censier_p114_c3_14,PERS,Jeubertus Brichart,NOUVEAU,"— Jeubertus Brichart, 2 s."
SSCO-AB_censier_0003,SSCO-AB_censier_p114_c3_14,PERS,Petrus de Atheis,NOUVEAU,"— Petrus de Atheis, 8 d."
SSCO-AB_censier_0003,SSCO-AB_censier_p114_c3_14,PERS,Richerius Pions,NOUVEAU,"— Richerius Pions, 3 s. obolo minus."
SSCO-AB_censier_0003,SSCO-AB_censier_p114_c3_14,PERS,Due domuncule de Lacurtille,NOUVEAU,"— Due domuncule de Lacurtille, 2 s., 8 d."
SSCO-AB_censier_0003,SSCO-AB_censier_p114_c3_14,PERS,Canonici de domo Niquerel,NOUVEAU,"— Canonici de domo Niquerel, 9 d."
