tier,prefix,cle,ids
EXACT,NDPA-EG-04,"<rs><hi rend=""sc"">Gislebertus</hi></rs>. <note>Vide Gilebertus</note>.",NDPA-EG-04_rs_3019 NDPA-EG-04_rs_3037
EXACT,SMPO-AB,"<rs><hi rend=""sc"">Orielde</hi></rs><!--, <ref n=""36"">36</ref>--><!--, <ref n=""114"">114</ref>--><!--,",SMPO-AB_rs_0570 SMPO-AB_rs_1204
EXACT,HDPAR-HD,"<rs><hi rend=""sc"">Petrus (Frater)</hi>, de Domo Dei</rs><!--, <ref n=""426"">426</ref>-->.",HDPAR-HD_rs_5268 HDPAR-HD_rs_5269
EXACT,HDPAR-HD,"<rs><hi rend=""sc"">Robinus (Stephanus)</hi>, de Compenso</rs><!--, <ref n=""666"">666</ref>--><!--, <re",HDPAR-HD_rs_6062 HDPAR-HD_rs_6066
EXACT,NDVC-AB,"<rs><hi rend=""sc"">Rogerius</hi>, prior Vallium Sarnaii, <hi rend=""i"">vid.</hi> <hi rend=""sc"">Rogeriu",NDVC-AB_rs_3969 NDVC-AB_rs_3970
MEME_NOM_REFS,SMPA-AB-03,arras | n=(),SMPA-AB-03_rs_0110 SMPA-AB-03_rs_0112
MEME_NOM_REFS,HDPAR-HD,avers | n=(),HDPAR-HD_rs_0518 HDPAR-HD_rs_0546
MEME_NOM_REFS,SMPA-AB-01,burchardus | n=(),SMPA-AB-01_rs_0398 SMPA-AB-01_rs_0400
MEME_NOM_REFS,HDPAR-HD,chaumont | n=(),HDPAR-HD_rs_1289 HDPAR-HD_rs_1297
MEME_NOM_REFS,SMPA-AB-03,clermont | n=(),SMPA-AB-03_rs_0991 SMPA-AB-03_rs_0992
MEME_NOM_REFS,SMPA-AB-01,galterius | n=(),SMPA-AB-01_rs_0818 SMPA-AB-01_rs_0822
MEME_NOM_REFS,SMPA-AB-03,"garnier (jean) | n=('140', '140-301')",SMPA-AB-03_rs_1592 SMPA-AB-03_rs_1593
MEME_NOM_REFS,SMPA-AB-01,gaufridus | n=(),SMPA-AB-01_rs_0849 SMPA-AB-01_rs_0853
MEME_NOM_REFS,HDPAR-HD,guyardus | n=(),HDPAR-HD_rs_2784 HDPAR-HD_rs_2785
MEME_NOM_REFS,SMPA-AB-03,"nicolas | n=('176', '176-397')",SMPA-AB-03_rs_2595 SMPA-AB-03_rs_2596
MEME_NOM_REFS,SMPA-AB-01,nivardus | n=(),SMPA-AB-01_rs_1650 SMPA-AB-01_rs_1651_1
MEME_NOM_REFS,SMPA-AB-01,stephanus | n=(),SMPA-AB-01_rs_2380 SMPA-AB-01_rs_2381
MEME_NOM_REFS,HDPAR-HD,"symon de maeroliis, miles | n=('397',)",HDPAR-HD_rs_6585 HDPAR-HD_rs_6586
MEME_NOM_REFS,SMPA-AB-01,unfredus | n=(),SMPA-AB-01_rs_2497 SMPA-AB-01_rs_2498
MEME_NOM_REFS,SMPA-AB-01,versailles procureur | n=(),SMPA-AB-01_rs_2536_9 SMPA-AB-01_rs_2543_2
