direction,xml:id,rs_text,signaux_cible,signaux_propres_(=bruit_si_présents)
LIEU→PERS,NDCH-EG_rs_5990,"Rollo, dux Normannorum",laïc,
LIEU→PERS,NDCH-EG_rs_6285,"Suzanne, sœur de Raoul le Plombier",fr-parenté,
LIEU→PERS,NDMA-AB_rs_280,"Eufémie, femme de J. du Bois",fr-parenté,
LIEU→PERS,SLES-PR_rs_0105,"Arnoul, fils d'Oudard",fr-parenté,
LIEU→PERS,SLES-PR_rs_0106,"Arnoul, fils de Renard",fr-parenté,
LIEU→PERS,SLES-PR_rs_0110,"Arnoul, serviteur du prieuré, qu'il faut peut-être identifier avec Arnoul, fils de Renard",fr-parenté,
LIEU→PERS,SMPA-AB-03_rs_2123_1,"Longchamp moniales, voir Emmeline, sœur de Raoul du Marchié, Margot, fille de Jacques le Flament",fr-parenté,
PERS→LIEU,HDPAR-HD_rs_0691,"Becherel (Terroir de), à Écharcon",fief/censive/terroir,
PERS→LIEU,HDPAR-HD_rs_0940,"Bouticon, lieu-dit à Compans",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_0986,"Bretèche (Moulin de la), près Champlan",moulin/pont/gué,
PERS→LIEU,HDPAR-HD_rs_1660,"Dignechien, lieu-dit à Louans",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_1752,"Écorcheboeuf, lieu-dit entre Mitry et Compans",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_1965,"Feularde, lieu-dit à Vert-le-Petit",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_2003,"Fontaine (La), lieu-dit à Vert-le-Petit",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_2487,"Groes de Feularde (Les), lieu-dit à Vert-le-Petit",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_4087,"Marnières (Les), lieu-dit à Louans",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_4188,"Mauberjon, lieu-dit à Chilly",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_4583,"Niverin, lieu-dit à Brie",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_4768,"Orme-Alis (L’), lieu-dit à Compans",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_5212,"Peschart, lieu-dit à Louans",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_6155,"Rus-de-Paroi (Le), lieu-dit à Louans",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_6869,"Val-Blésentois (Le), lieu-dit à Argenteuil",village/hameau/lieudit,
PERS→LIEU,HDPAR-HD_rs_6887,"Valmont (Clos de), à Argenteuil",fief/censive/terroir,
PERS→LIEU,HDPAR-HD_rs_6889,"Val-Saint-Éloi (Prieuré du), sous Chilly",abbaye/prieuré,
PERS→LIEU,NDCH-EG_rs_1548,Poissonnerie (Ruelle de la),rue/chemin,
PERS→LIEU,NDMA-AB_rs_196,Chemin des Vaches,rue/chemin,
PERS→LIEU,NDMA-AB_rs_197,"Chemin des Vaches, de Nogent à Houdan",rue/chemin,
PERS→LIEU,NDMA-AB_rs_198,"Chemin des Vaches, de Croisilles à Charpont",rue/chemin,
PERS→LIEU,NDMT-AB_rs_0383,"La Forest (Marie de), prieure du cloître de l'abbaye",abbaye/prieuré,
PERS→LIEU,NDMT-AB_rs_0784,"Sainte-Opportune, censive",fief/censive/terroir,
PERS→LIEU,NDPA-EG-04_rs_1730,Clos Pentin,fief/censive/terroir,
PERS→LIEU,NDPA-EG-04_rs_1761,Clos,fief/censive/terroir,
PERS→LIEU,NDPR-AB_rs_0215,"Clauso, Clos de la Haye",fief/censive/terroir,
PERS→LIEU,NDVC-AB_rs_4636,"Vitou (Louis), procureur de la commune de Cernay",commune,
PERS→LIEU,SAPC-AB_rs_0993,"Rivus, Ru (Le): lieu-dit de Champagne-sur-Oise, Val-d'Oise, arr. Pontoise, cant. Beaumont-sur-Oise,",village/hameau/lieudit,
PERS→LIEU,SCHA-PR_rs_150,Crespy (chemin de),rue/chemin,
PERS→LIEU,SCOR-EG_rs_0717,ChenevièresCommune de St-Denis-de-l'Hôtel (Loiret). (Cannaveriæ),dept;commune,
PERS→LIEU,SCOR-EG_rs_0722,ChevenelleCommune de Charsonville (Loiret). (Caprella),dept;commune,
PERS→LIEU,SCOR-EG_rs_0746,CloseauSt-Privé-St-Mesmin (Loiret).,dept,
PERS→LIEU,SCOR-EG_rs_1214,GommiersCommune de Terminiers (Eure-et-Loir).,dept;commune,
PERS→LIEU,SCOR-EG_rs_1698,"Mahi de Bailleau Bailleau-sous-Galardon (Eure-et-Loir)., chevalier",dept,
PERS→LIEU,SCOR-EG_rs_1900,MontignyCommune de Villermain (Loir-et-Cher). (Mungtigniacum),dept;commune,
PERS→LIEU,SCOR-EG_rs_1901,MontignyCanton d'Outarville (Loiret). (Montegniacum),dept;canton/arrond,
PERS→LIEU,SCOR-EG_rs_1911,MoretCommune de Rouvray-Sainte-Croix (Loiret). (Mores),dept;commune,
PERS→LIEU,SCOR-EG_rs_1934,MuzellesCommune de Terminiers (Eure-et-Loir). (Murellas),dept;commune,
PERS→LIEU,SCOR-EG_rs_2594,SavignyCommune de Sandillon ! (Saviniacus),commune,
PERS→LIEU,SCOR-EG_rs_2761,TopineuxCommune de Sougy (Loiret).,dept;commune,
PERS→LIEU,SCOR-EG_rs_2860,VillermainCanton d'Ouzouer-le-Marché (Loir-et-Cher).,dept;canton/arrond,
PERS→LIEU,SCOR-EG_rs_2861,"VillesevreuxCommune de Sougy (Loiret)., (Villesevros)",dept;commune,
PERS→LIEU,SLES-PR_rs_0023,Ageux (Oise),dept,
PERS→LIEU,SLES-PR_rs_0067,Andechy (Somme),dept,
PERS→LIEU,SLES-PR_rs_0074,Angy (Oise),dept,
PERS→LIEU,SLES-PR_rs_0150,Bailleul [sur Thérain] (Oise),dept,
PERS→LIEU,SLES-PR_rs_0152,Barbery (Oise),dept,
PERS→LIEU,SLES-PR_rs_0180,Beauvais (Oise),dept,
PERS→LIEU,SLES-PR_rs_0213,"Bellassise (Somme). Robert, maire de",dept,
PERS→LIEU,SLES-PR_rs_0232,Béthisy-[S. Pierre] (Oise),dept,
PERS→LIEU,SLES-PR_rs_0236,Blaincourt près S. Leu (Oise),dept,
PERS→LIEU,SLES-PR_rs_0245,"Boissière (Oise), Guillaume de la",dept,
PERS→LIEU,SLES-PR_rs_0249,Boran (Oise),dept,
PERS→LIEU,SLES-PR_rs_0253,Bornel (Oise),dept,
PERS→LIEU,SLES-PR_rs_0278,"Boutenangle, com. d'Erquinvillers (Oise)",dept,
PERS→LIEU,SLES-PR_rs_0286,Boves (Somme),dept,
PERS→LIEU,SLES-PR_rs_0293,Brenouille (Oise),dept,
PERS→LIEU,SLES-PR_rs_0295,Breteuil (Oise),dept,
PERS→LIEU,SLES-PR_rs_0318,Bulles (Oise),dept,
PERS→LIEU,SLES-PR_rs_0338,Bury (Oise),dept,
PERS→LIEU,SLES-PR_rs_0344,Cailloüel (Oise),dept,
PERS→LIEU,SLES-PR_rs_0360,Cauffry (Oise),dept,
PERS→LIEU,SLES-PR_rs_0366,Cauvigny (Oise),dept,
PERS→LIEU,SLES-PR_rs_0375,Chambly (Oise),dept,
PERS→LIEU,SLES-PR_rs_0387,"Chantilly, « Cantiliacus » (Oise)",dept,
PERS→LIEU,SLES-PR_rs_0404,Chepoix (Oise),dept,
PERS→LIEU,SLES-PR_rs_0406,Chérisi (Pas-de-Calais) ou Quiry (Somme),dept,
PERS→LIEU,SLES-PR_rs_0422,Cinqueux « Sinquez » (Oise),dept,
PERS→LIEU,SLES-PR_rs_0463,Compiègne (Oise),dept,
PERS→LIEU,SLES-PR_rs_0468,"Conteville (Oise), Nicolas de",dept,
PERS→LIEU,SLES-PR_rs_0480,Cramoisy (Oise),dept,
PERS→LIEU,SLES-PR_rs_0514,Cressonsacq (Oise),dept,
PERS→LIEU,SLES-PR_rs_0517,Crotoy (Somme),dept,
PERS→LIEU,SLES-PR_rs_0519,Crouy (Oise),dept,
PERS→LIEU,SLES-PR_rs_0521,Cugnières (Oise),dept,
PERS→LIEU,SLES-PR_rs_0670,"Eve, (Oise)",dept,
PERS→LIEU,SLES-PR_rs_0674,"Fécamp, lieudit à Villers-Saint-Paul (Oise)",dept,
PERS→LIEU,SLES-PR_rs_0679,"Fignières, Vieux. (Somme)",dept,
PERS→LIEU,SLES-PR_rs_0693,"Fouilleuse (Oise) Philippe de., damoiseau",dept,
PERS→LIEU,SLES-PR_rs_0694,"Foulangues (Oise), Eudes de",dept,
PERS→LIEU,SLES-PR_rs_0713,Fournival (Oise),dept,
PERS→LIEU,SLES-PR_rs_0924,"Houdencourt (Oise), Colard, dit Froissart",dept,
PERS→LIEU,SLES-PR_rs_0963,"Ives, fermier du port de S. Leu avec Girard",moulin/pont/gué,
PERS→LIEU,SLES-PR_rs_0992,Jumel (Somme). Ibert de,dept,
PERS→LIEU,SLES-PR_rs_0999,Laigneville (Oise). Eudes de,dept,
PERS→LIEU,SLES-PR_rs_1011,Lassigny « de Latiniaco » (Oise),dept,
PERS→LIEU,SLES-PR_rs_1036,"Lesglantiers (Oise), Florent de., marié à Agnès",dept,
PERS→LIEU,SLES-PR_rs_1061,Liancourt (Oise),dept,
PERS→LIEU,SLES-PR_rs_1128,"Meung-sur-Loire (Loiret), Guillaume de. clerc de Beauvais",dept,
PERS→LIEU,SLES-PR_rs_1156,Montdidier (Somme),dept,
PERS→LIEU,SLES-PR_rs_1170,"Mont [l'Évêque], ou Monz (Oise), Gilon de",dept,
PERS→LIEU,SLES-PR_rs_1173,Moreuil (Somme),dept,
PERS→LIEU,SLES-PR_rs_1176,Mortefontaine (Oise),dept,
PERS→LIEU,SLES-PR_rs_1183,"Mouy (Oise), Dreux de., neveu d'Hugues",dept,
PERS→LIEU,SLES-PR_rs_1189,Nanteuil (Oise),dept,
PERS→LIEU,SLES-PR_rs_1196,Neuville en Hez (Oise),dept,
PERS→LIEU,SLES-PR_rs_1204,"Nogent (Oise), Gasce de",dept,
PERS→LIEU,SLES-PR_rs_1208,Noyon (Oise),dept,
PERS→LIEU,SLES-PR_rs_1233,Ourscamps (Oise),dept,
PERS→LIEU,SLES-PR_rs_1271,"Pierrepont (Somme), Robert de",dept,
PERS→LIEU,SLES-PR_rs_1274,Plailly (Oise),dept,
PERS→LIEU,SLES-PR_rs_1275,"Plainval (Oise), Payen de",dept,
PERS→LIEU,SLES-PR_rs_1277,Plessis-Choisel (Oise),dept,
PERS→LIEU,SLES-PR_rs_1296,"Pontpoint (Oise), Gautier de",dept,
PERS→LIEU,SLES-PR_rs_1301,Précy (Oise),dept,
PERS→LIEU,SLES-PR_rs_1315,"Quesnel (Oise), Aubri du",dept,
