direction,xml:id,rs_text,signaux,nb_signaux
PERSONNES→lieu?,SMPA-AB-01_rs_1664,"Notre-Dame de la Roche (abbaye de), Aug., Yvelines, arrondissement de Rambouillet, canton de Chevreuse, commune de Lévis-Saint-Nom; — son fondateur",commune;abbaye;canton/arrond,3
PERSONNES→lieu?,SMPA-AB-01_rs_2636,"Yverneaux (abbaye d’), Aug., Seine-et-Marne, arrondissement de Melun, canton de Brie-Comte-Robert, commune de Lésigny,",commune;abbaye;canton/arrond,3
PERSONNES→lieu?,SMPA-AB-01_rs_0001,"A la Peletere (fief dit), dans la paroisse de Galluis, relevant du comte de Montfort",paroisse;fief/censive,2
PERSONNES→lieu?,SMPA-AB-01_rs_0206,"Barbeau (abbaye Notre-Dame de), O.C., arrondissement de Melun, canton du Châtelet-en-Brie, commune de Fontaine-le-Port, d’abord établie à Seine-Port, arrondissement de Melun, canto",commune;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_0321,"Bonlieu (abbaye Notre-Dame de), O.C., Gironde, arrondissement de Bordeaux, canton et commune de Carbon-Blanc, de Bono Loco,",commune;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_0323,"Boquem (abbaye Notre-Dame de), O.C., Côtes-d’Armor, arrondissement de Dinan, canton et commune de Jugon,",commune;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_0362,"Breuil (fief du), dans la paroisse de Galluis, relevant du comte de Montfort, sans doute le Breuil de Garencières, Bruolium",paroisse;fief/censive,2
PERSONNES→lieu?,SMPA-AB-01_rs_0482,"Chapelle-Saint-Magloire (La), Loiret, arrondissement d’Orléans, canton d’Artenay, commune de Chevilly,",commune;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_0510,"Châteaufort, Essonne, arrondissement de Palaiseau, canton de Bièvres, Castrum Forte; — prieuré Saint-Christophe, au diocèse de Paris relevant de l’abbaye de Bourgueil",abbaye;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_0640,"Déluge (Le), Essonne, arrondissement de Palaiseau, canton de Limours, commune de Marcoussis, Diluvium, Dilugium,",commune;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_0741,"Fécamp (abbaye de la Sainte Trinité de), O.S.B., Seine-Maritime, arrondissement du Havre, abbé, abbas Fiscannensis,",abbaye;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_0990,"Groes (les), lieu-dit entre Montmartre et le Roule, dans la censive de Sainte-Opportune",village/hameau;fief/censive,2
PERSONNES→lieu?,SMPA-AB-01_rs_1051,"Haie de Blarim, lieu-dit de Rambouillet, peut-être fief de la Haie de Blairon, Haya de Blarim",village/hameau;fief/censive,2
PERSONNES→lieu?,SMPA-AB-01_rs_1076,"Haute-Bruyère (abbaye Notre-Dame de), Font., Yvelines, arrondissement de Rambouillet, canton de Chevreuse, commune de Saint-Rémy-l’Honoré, Alta Brueria,",commune;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_1205,"Image Notre-Dame (maison à l’enseigne de l’), hôtel de l’abbaye du Val-Notre-Dame, rue de Hueleu",abbaye;rue/chemin,2
PERSONNES→lieu?,SMPA-AB-01_rs_1243,"Jard (abbaye Saint-Jeandu), d’abord installée à Passy, puis transférée au Jard, Aug., Seine-et-Marne, arrondissement de Melun, canton de Melun-Nord, commune du Vert-Saint-Denis,",commune;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_1296,"Josaphat (abbaye Notre-Dame de), O.S.B., Eure-et-Loir, arrondissement de Chartres, canton de Mainvilliers, commune de Lèves; — (acte passé à)",commune;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_1344,"Lieutel (fief du), dans la paroisse de Galluis, relevant du comte de Montfort, Luatellum",paroisse;fief/censive,2
PERSONNES→lieu?,SMPA-AB-01_rs_1458,"Marmoutier (abbaye Saint-Martin de), O; S.B., Indre-et-Loire, arrondissement et canton de Tours, commune de Sainte-Radegonde, Majus Monasterium,",commune;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_1542,"Monceau (Le), Loiret, arrondissement d’Orléans, canton de Cléry-Saint-André, commune de Dry, Moncellus,",commune;canton/arrond,2
PERSONNES→lieu?,SMPA-AB-01_rs_1577,"Montibeuf, lieu-dit de Charonne, actuellement rue des Montibœufs, Paris, 20earrondissement, Montibuef,",village/hameau;rue/chemin,2
PERSONNES→lieu?,SMPA-AB-01_rs_1616,"Mulleron, hameau de la commune de Janvry",commune;village/hameau,2
PERSONNES→lieu?,SMPA-AB-01_rs_1665,"Notre-Dame-des-Champs (prieuré de), dépendant de l’abbaye de Marmoutier, à Paris, Sancte Marie ecclesia [que] sita est in Campis; — censive",abbaye;fief/censive,2
PERSONNES→lieu?,SMPA-AB-01_rs_1703,"Ormes (les), lieu-dit de Charonne, à l’emplacement actuel de la rue des Ormeaux, Paris, 20earrondissement,",village/hameau;rue/chemin,2
PERSONNES→lieu?,SMPA-AB-01_rs_1792,"Perdriel (fief), dans la paroisse de Galluis, relevant du comte de Montfort",paroisse;fief/censive,2
PERSONNES→lieu?,SMPA-AB-01_rs_1904,"Pont-la-Reine, Seine-Saint-Denis, arrondissement de Bobigny, canton du Bourget, commune de Drancy; — maladrerie (?), peut-être confusion avec la maladrerie de Bourg-la-Reine, Hauts",commune;canton/arrond,2
