direction,xml:id,rs_text,signaux_cible,signaux_propres_(=bruit_si_présents)
LIEU→PERS,SSCO-AB_rs_586,"La Norville, La Norville (Seine-et-Oise, canton d'Arpajon), Marguareta de la Norville, vidua",parenté,canton/arrond
PERS→LIEU,SAPC-AB_rs_1597,"Rex: (roi, censive ou fief du roi de France)",fief/censive/terroir,laïc
PERS→LIEU,SLES-PR_rs_0556,"Déluge (Oise), Gautier du. fils d'Eufémie",dept,fr-parenté
PERS→LIEU,SLES-PR_rs_1322,Ramerupt (Aube). Gui fils de Garnier de,dept,fr-parenté
PERS→LIEU,SMPA-AB-01_rs_0741,"Fécamp (abbaye de la Sainte Trinité de), O.S.B., Seine-Maritime, arrondissement du Havre, abbé, abbas Fiscannensis,",abbaye/prieuré;canton/arrond,clérical
PERS→LIEU,SMPA-AB-01_rs_0974,"Grandchamp (abbaye Notre-Dame de), Prém., Yvelines, arrondissement de Mantes-la-Jolie, canton de Houdan, abbas et conventus Grandis Campi,",canton/arrond,clérical
PERS→LIEU,SMPA-AB-01_rs_1120,"Hérivaux (abbaye Notre-Dame d’), Aug., Val d’Oise, arrondissement de Montmorency, abbé, Herivallis abbas,",canton/arrond,clérical
PERS→LIEU,SMPA-AB-01_rs_2128,"Saint-Antoine (abbaye de), O.C., aujourd’hui hôpital Saint-Antoine, 12earrondissement de Paris, abbatissa et conventus Sancti Anthonii juxta Parisius, Saint Anthoine,",abbaye/prieuré;canton/arrond,clérical
PERS→LIEU,SMPA-AB-01_rs_2236,"Saint-Rémy-lés-Chevreuse (?), Yvelines, arrondissement de Rambouillet, canton de Chevreuse, Sanctus Remigius; — presbiter,",canton/arrond,clérical
PERS→LIEU,SMPA-AB-01_rs_2520,"Vaux-de-Cernay (abbaye Notre-Dame des), O.C., Yvelines, arrondissement de Rambouillet, canton de Chevreuse, commune de Cernay-la-Ville, Vallium Sarnaii abbas et conventus,",commune;canton/arrond,clérical
PERS→LIEU,SMPA-AB-02_rs_0535,Calido Moncello (domina de); sa censive,fief/censive/terroir,laïc
PERS→LIEU,SMPA-AB-02_rs_1912,"Marcheboe (Nicolas), Nicolaus Marcheboe; sa censive et celle d’Aveline, veuve d’Adam le Roux",fief/censive/terroir,fr-parenté
PERS→LIEU,SSCO-AB_rs_901,"Videles (Theobaldus de, presbiter), Videlles (Seine-et-Oise, canton de la Ferté-Alais)",canton/arrond,clérical
