type,texte,article,page,contexte
persName,Alain de Pontayse,SMPA-EG_censier_0002,172,"ont et prenent sus le meison Alain de Pontayse3, que feit l"
persName,Ameline,SMPA-EG_censier_0002,171,"s de Rosai, que est à present Ameline, sa fame, et à son fiu"
persName,Andriu Quenel,SMPA-EG_censier_0002,173,"Hue le Madelinier [à pressent Andriu Quenel1], entre les dus"
persName,Basile,SMPA-EG_censier_0002,172,"et prenent sus le dite meison Basile tenant, d'un cousté, à"
persName,Basile,SMPA-EG_censier_0002,172,", d'autre part, à le meiso[n] Basile, lequielle meison est b"
persName,Estienne de Cuci,SMPA-EG_censier_0002,173,"de le Queuc [à pressent mons. Estienne de Cuci1] tenant, d'u"
persName,Eude le Queuc,SMPA-EG_censier_0002,173,nent sus le dite meison dudit Eude le Queuc [à pressent mons
persName,Geufroy Lefevre,SMPA-EG_censier_0002,172,"Brueires [et est à present à Geufroy Lefevre, hanapier5], e"
persName,Girart de Cul,SMPA-EG_censier_0002,171,"]5; so est à savoir, à mestre Girart de Cul, chanoine de Err"
persName,Guillaume Langlois,SMPA-EG_censier_0002,173,"eison que est aus hers de feu Guillaume Langlois, xx s. p. :"
persName,Guillaume Langlois,SMPA-EG_censier_0002,172,st à present à le fame de feu Guillaume Langlois et à ces en
persName,Guillaume Veiren,SMPA-EG_censier_0002,172,"ne part, à le meison que feut Guillaume Veiren, l'ulier, [et"
persName,Guilleume le Mereschalc,SMPA-EG_censier_0002,171,"et, d'autre part, à le meison Guilleume le Mereschalc, lequi"
persName,Heude,SMPA-EG_censier_0002,173,"ousté, à le dite meison dudit Heude, et, d'autre part, à le"
persName,Hue le Madelinier,SMPA-EG_censier_0002,173,est à present aus hers de feu Hue le Madelinier [à pressent
persName,Jaque de Columbiers,SMPA-EG_censier_0002,171,"autre meison, que feut jadis Jaque de Columbiers, tenant, d"
persName,Jaque le Bouchier,SMPA-EG_censier_0002,172,"enent sus le meison, que feut Jaque le Bouchier, que est à p"
persName,Jehan Marceu,SMPA-EG_censier_0002,171,"'un cousté, à le meison dudit Jehan Marceu, et, d'autre part"
persName,Jehan Marceu,SMPA-EG_censier_0002,171,"et, d'autre part, à le meison Jehan Marceu, lequielle est2 b"
persName,Jehan le Gros,SMPA-EG_censier_0002,173,"prenent sus le meison que feu Jehan le Gros, que est à prese"
persName,Jehan le Saunier,SMPA-EG_censier_0002,172,meison est bailliée à messire Jehan le Saunier pour iiii l.
persName,Nicholas,SMPA-EG_censier_0002,171,"le devant dite meison de feu Nicholas, et, d'autre part, à"
persName,Nicholaus de Rosai,SMPA-EG_censier_0002,171,"sus le meison que feut jadis Nicholaus de Rosai, que est à"
persName,Pierre de Moncuc,SMPA-EG_censier_0002,171,"nt, d'un costé, à le meiso[n] Pierre de Moncuc, et, d'autre"
persName,Richart,SMPA-EG_censier_0002,173,"'un cousté, à le meison dudit Richart, et, d'autre part, à l"
persName,Richart,SMPA-EG_censier_0002,172,"et, d'autre part, à le meison Richart l'Orfievre, vii l. xii"
persName,Richart le Garçon,SMPA-EG_censier_0002,173,"it Robert le Queuc [à present Richart le Garçon1] tenant, d'"
persName,Robert,SMPA-EG_censier_0002,173,"autre part, à le meison dudit Robert et de Tiebout, son frei"
persName,Robert de Brueires,SMPA-EG_censier_0002,172,"iren, l'ulier, [et fut puis4] Robert de Brueires [et est à p"
