category,kind,name,target,source,matches
new,place,Seint Merri de Paris,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,
new,place,Encloistre,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,
new,place,Seint Merri,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,
new,person,Nicholaus de Rosai,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,
exact_multi,person,Ameline,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,SMPA-AB-01_rs_0079 :: Ameline | HDPAR-HD_rs_0297 :: Ameline
new,place,S. Estiene,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,
new,person,Nicholas,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,
new,person,Jehan Marceu,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,
new,person,Girart de Cul,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,
new,person,Jaque de Columbiers,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,
new,person,Jehan Marceu,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,
new,person,Guilleume le Mereschalc,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002,
new,person,Basile,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002,
new,person,Basile,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002,
new,person,Alain de Pontayse,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002,
new,place,Encloistre,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002,
new,person,Jaque le Bouchier,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002,
new,person,Geufroy Lefevre,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002,
new,person,Eude le Queuc,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002,
new,person,Estienne de Cuci,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002,
new,person,Richart le Garçon,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002,
exact_multi,person,Robert,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002,SCHA-PR_rs_465 :: Robert | SMPA-AB-02_rs_2703 :: Robert
new,person,Tiebout,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002,
new,person,Jehan le Gros,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002,
new,person,Andriu Quenel,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002,
new,place,S. Merri,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002,
new,place,Seint Martin,#SMPA-EG_censier_p173_c3,SMPA-EG_censier_0003,
new,place,Seint Merri,#SMPA-EG_censier_p173_c3,SMPA-EG_censier_0003,
exact_multi,person,Jehan,#SMPA-EG_censier_p173_c3,SMPA-EG_censier_0003,HDPAR-HD_rs_3297 :: Jehan | SMPA-AB-03_rs_1969 :: Jehan…
new,person,Rogier du Fruit le Roy,#SMPA-EG_censier_p173_c3,SMPA-EG_censier_0003,
new,person,Margarite,#SMPA-EG_censier_p173_c3,SMPA-EG_censier_0003,
exact_multi,person,Thomas,#SMPA-EG_censier_p173_c4,SMPA-EG_censier_0004,SMPA-AB-01_rs_2439 :: Thomas | HDPAR-HD_rs_6732 :: Thomas | HDPAR-HD_rs_6770 :: Thomas | STEP-AB_rs_0551 :: Thomas
new,place,S. Estiene,#SMPA-EG_censier_p173_c4,SMPA-EG_censier_0004,
new,person,Robert de Paris,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,person,Margarite,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,person,Jehan Bolengier,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,person,Jaqueline le Barentine,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,person,Jehan de Seint Quentin,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,person,Henri du Presseur,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,place,Seint Merri,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,person,Estiene de Conches,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,person,Aden,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,person,Ysabieu,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,person,Jehan Lulier,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,person,Ysabieu,#SMPA-EG_censier_p174_c4_3,SMPA-EG_censier_0004,
new,person,Daniel le Breto,#SMPA-EG_censier_p174_c5,SMPA-EG_censier_0005,
new,person,Jehan de Sezanne,#SMPA-EG_censier_p175_c5_5,SMPA-EG_censier_0005,
new,person,Ysabieu le Beguine,#SMPA-EG_censier_p175_c5_5,SMPA-EG_censier_0005,
new,person,Aden Deraime,#SMPA-EG_censier_p175_c5_5,SMPA-EG_censier_0005,
new,place,Gieffroi,#SMPA-EG_censier_p175_c6,SMPA-EG_censier_0006,
new,person,Yve des Pavellons,#SMPA-EG_censier_p175_c6,SMPA-EG_censier_0006,
new,person,Michiel le Blont,#SMPA-EG_censier_p175_c6,SMPA-EG_censier_0006,
new,person,Henri Lelement,#SMPA-EG_censier_p175_c6,SMPA-EG_censier_0006,
new,person,Jehan le Potier,#SMPA-EG_censier_p175_c6,SMPA-EG_censier_0006,
new,person,Thomas le Fundeur,#SMPA-EG_censier_p175_c6,SMPA-EG_censier_0006,
exact_multi,person,Thomas,#SMPA-EG_censier_p175_c6,SMPA-EG_censier_0006,SMPA-AB-01_rs_2439 :: Thomas | HDPAR-HD_rs_6732 :: Thomas | HDPAR-HD_rs_6770 :: Thomas | STEP-AB_rs_0551 :: Thomas
new,person,Jehan de Peirone,#SMPA-EG_censier_p175_c6,SMPA-EG_censier_0006,
new,person,Jehan le Mire,#SMPA-EG_censier_p175_c6,SMPA-EG_censier_0006,
new,place,Biaubourc,#SMPA-EG_censier_p176_c7,SMPA-EG_censier_0007,
new,place,Biaubourc,#SMPA-EG_censier_p176_c7,SMPA-EG_censier_0007,
new,person,Jehan le Mire,#SMPA-EG_censier_p176_c7,SMPA-EG_censier_0007,
new,place,Seint Merri,#SMPA-EG_censier_p176_c7,SMPA-EG_censier_0007,
new,person,Robert de Corbuelh,#SMPA-EG_censier_p176_c7,SMPA-EG_censier_0007,
new,person,Maci de Pierrefite,#SMPA-EG_censier_p176_c7,SMPA-EG_censier_0007,
exact_multi,person,Jehan,#SMPA-EG_censier_p176_c7,SMPA-EG_censier_0007,HDPAR-HD_rs_3297 :: Jehan | SMPA-AB-03_rs_1969 :: Jehan…
new,person,Perronelle le Boullipote,#SMPA-EG_censier_p176_c7,SMPA-EG_censier_0007,
new,place,Seint Merri,#SMPA-EG_censier_p176_c7,SMPA-EG_censier_0007,
new,person,Jehan de Rouan,#SMPA-EG_censier_p176_c7,SMPA-EG_censier_0007,
new,person,Jehane la Charbonnierre,#SMPA-EG_censier_p176_c7,SMPA-EG_censier_0007,
new,person,Jehan Bobelin,#SMPA-EG_censier_p177_c7_9,SMPA-EG_censier_0007,
new,person,Laurens,#SMPA-EG_censier_p177_c7_9,SMPA-EG_censier_0007,
new,person,Estiene des Prés,#SMPA-EG_censier_p177_c7_9,SMPA-EG_censier_0007,
exact_multi,person,Guillaume,#SMPA-EG_censier_p177_c7_9,SMPA-EG_censier_0007,SLES-PR_rs_0851 :: Guillaume | SMPA-AB-02_rs_1364 :: Guillaume | SMPA-AB-02_rs_1369 :: Guillaume | SMPA-AB-03_rs_1785 :: Guillaume | SMPA-AB-03_rs_1786 :: Guillaume | SMPA-EG_rs_0752 :: Guillaume
new,person,Guillaume Quinevint,#SMPA-EG_censier_p177_c7_9,SMPA-EG_censier_0007,
new,place,Seint Merri,#SMPA-EG_censier_p177_c7_9,SMPA-EG_censier_0007,
new,person,Jehan Bobelin,#SMPA-EG_censier_p177_c8,SMPA-EG_censier_0008,
exact_multi,person,Robert,#SMPA-EG_censier_p177_c8,SMPA-EG_censier_0008,SCHA-PR_rs_465 :: Robert | SMPA-AB-02_rs_2703 :: Robert
new,person,Richart le Charpentier,#SMPA-EG_censier_p177_c8,SMPA-EG_censier_0008,
exact_multi,person,Guillaume,#SMPA-EG_censier_p177_c8,SMPA-EG_censier_0008,SLES-PR_rs_0851 :: Guillaume | SMPA-AB-02_rs_1364 :: Guillaume | SMPA-AB-02_rs_1369 :: Guillaume | SMPA-AB-03_rs_1785 :: Guillaume | SMPA-AB-03_rs_1786 :: Guillaume | SMPA-EG_rs_0752 :: Guillaume
new,person,Bertaut,#SMPA-EG_censier_p177_c8,SMPA-EG_censier_0008,
new,place,Baudoel,#SMPA-EG_censier_p177_c8,SMPA-EG_censier_0008,
new,person,Guillot le Charbonier,#SMPA-EG_censier_p177_c8,SMPA-EG_censier_0008,
exact_multi,person,Symon,#SMPA-EG_censier_p177_c8,SMPA-EG_censier_0008,SMPA-AB-01_rs_2398 :: Symon | HDPAR-HD_rs_6556 :: Symon | HDPAR-HD_rs_6612 :: Symon | SAPC-AB_rs_1147 :: Symon
new,place,Seint Martin,#SMPA-EG_censier_p177_c8,SMPA-EG_censier_0008,
new,person,Nicholaus de Veires,#SMPA-EG_censier_p177_c8,SMPA-EG_censier_0008,
new,place,Seint Merri,#SMPA-EG_censier_p178_c8_9,SMPA-EG_censier_0008,
new,person,Jehan de Gaire,#SMPA-EG_censier_p178_c8_9,SMPA-EG_censier_0008,
new,place,Symon Franc,#SMPA-EG_censier_p178_c9,SMPA-EG_censier_0009,
new,person,Pierre le Borcier des Ales,#SMPA-EG_censier_p178_c9,SMPA-EG_censier_0009,
new,person,Jehan de Seint Tybaut,#SMPA-EG_censier_p178_c9,SMPA-EG_censier_0009,
new,person,Evrart le Charpentier,#SMPA-EG_censier_p178_c9,SMPA-EG_censier_0009,
new,person,Estiene le Gros,#SMPA-EG_censier_p178_c9,SMPA-EG_censier_0009,
new,person,Estiene le Gros,#SMPA-EG_censier_p178_c9,SMPA-EG_censier_0009,
new,person,Estiene le Gros,#SMPA-EG_censier_p178_c9,SMPA-EG_censier_0009,
new,person,Michiel,#SMPA-EG_censier_p178_c9,SMPA-EG_censier_0009,
new,person,Jaque le Breto,#SMPA-EG_censier_p178_c9,SMPA-EG_censier_0009,
exact_multi,person,Jehan,#SMPA-EG_censier_p178_c9,SMPA-EG_censier_0009,HDPAR-HD_rs_3297 :: Jehan | SMPA-AB-03_rs_1969 :: Jehan…
