kind,name,target,source
place,Seint Merri de Paris,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
place,Encloistre,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
place,Seint Merri,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
person,Nicholaus de Rosai,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
person,Ameline,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
person,Pierre de Moncuc,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
place,S. Estiene,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
person,Nicholas,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
person,Jehan Marceu,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
person,Girart de Cul,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
person,Jaque de Columbiers,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
person,Jehan Marceu,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
person,Guilleume le Mereschalc,#SMPA-EG_censier_p171_c2,SMPA-EG_censier_0002
person,Basile,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002
person,Jehan le Saunier,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002
person,Basile,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002
person,Richart,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002
person,Alain de Pontayse,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002
place,Encloistre,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002
person,Jaque le Bouchier,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002
person,Guillaume Langlois,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002
person,Guillaume Veiren,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002
person,Robert de Brueires,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002
person,Geufroy Lefevre,#SMPA-EG_censier_p172_c2_12,SMPA-EG_censier_0002
person,Eude le Queuc,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002
person,Estienne de Cuci,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002
person,Richart,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002
person,Robert le Queuc,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002
person,Robert le Queuc,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002
person,Richart le Garçon,#SMPA-EG_censier_p173_c2_26,SMPA-EG_censier_0002
