kind,id,name,refs,reason
person,SMPA-EG_censier_person_new_7501,Adam,1,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7507,Aden,3,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7512,Aden Point La Rue,1,termes de lieu dans une fiche personne
person,SMPA-EG_censier_person_new_7513,Agnes,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7516,Ameline,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7517,Ancel,5,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7519,Andri,3,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7527,Arnoul,1,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7528,Basile,9,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7530,Bertaut,5,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7534,Emeline,1,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7536,Erembourc,1,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7540,Ernoul Pigno La Rue,1,termes de lieu dans une fiche personne
person,SMPA-EG_censier_person_new_7541,Estiene,7,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7584,Gandolfe,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7585,Gautier,1,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7586,Geufroi,3,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7604,Girart,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7614,Guillaume,7,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7625,Guilleume,13,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7665,Hervi,8,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7676,Hue,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7680,Jaque,9,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7692,Jaqueline,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7697,Jehan,48,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7842,Jehane,15,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7857,Laurens,1,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7860,Mace,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7861,Maci,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7872,Margarite,12,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7877,Marguerite,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7879,Marie,10,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7888,Michiel,5,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7896,Nicholas,1,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7898,Nicholaus,1,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7912,Odart,1,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7916,Perrin,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7917,Perronelle,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7919,Petrus,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7924,Pierre,12,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7955,Robert,13,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7963,Rogier,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7971,Symon,8,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7979,Thibaut,2,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7980,Thomas,20,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7989,Tiebout,1,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7990,Ysabieu,7,nom très générique ou isolé
person,SMPA-EG_censier_person_new_7995,Yve,1,nom très générique ou isolé
place,SMPA-EG_censier_place_new_7505,Aubert le Bouchier,1,termes de personne dans une fiche lieu
place,SMPA-EG_censier_place_new_7506,Baudoel,1,nom très générique ou isolé
place,SMPA-EG_censier_place_new_7507,Biaubourc,8,nom très générique ou isolé
place,SMPA-EG_censier_place_new_7508,Chastellet,10,nom très générique ou isolé
place,SMPA-EG_censier_place_new_7509,Encloistre,25,nom très générique ou isolé
place,SMPA-EG_censier_place_new_7510,Gieffre,4,nom très générique ou isolé
place,SMPA-EG_censier_place_new_7511,Gieffroi,1,nom très générique ou isolé
place,SMPA-EG_censier_place_new_7549,Symon le Franc,1,termes de personne dans une fiche lieu
place,SMPA-EG_censier_place_new_7550,Trinité,9,nom très générique ou isolé
