"statut","fichier","acte","page","lecture_xml","lecture_imprimee","action","source"
"confirme","HDPO-HD.xml","HDPO-HD_0022","15","Domns Dei","Domus Dei","corriger Domns en Domus","https://archive.org/download/cartulairedelhot00depo/page/n30_w800.jpg"
"confirme","HDPO-HD.xml","HDPO-HD_0052","33","JohannesFrancie","Johannes Francie","ajouter une espace","https://archive.org/download/cartulairedelhot00depo/page/n48_w800.jpg"
"confirme","HDPO-HD.xml","HDPO-HD_0083","56","bargensis","burgensis","corriger bargensis en burgensis","https://archive.org/download/cartulairedelhot00depo/page/n71_w800.jpg"
"confirme","NDPR-AB.xml","NDPR-AB_0137","137","Actum auno","Actum anno","corriger auno en anno","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k132483k/f159/full/full/0/default.jpg"
"confirme","NDVC-AB.xml","NDVC-AB_0226","220","lilteras","litteras","corriger lilteras en litteras","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10006766_00230/full/full/0/default.jpg"
"confirme","NDVC-AB.xml","NDVC-AB_0321","296","salatem","salutem","corriger salatem en salutem","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10006766_00306/full/full/0/default.jpg"
"confirme","NDVC-AB.xml","NDVC-AB_0403","370","lilteras","litteras","corriger lilteras en litteras","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10006766_00380/full/full/0/default.jpg"
"confirme","NDVC-AB.xml","NDVC-AB_0448","409","dieti abbas","dicti abbas","corriger dieti en dicti","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10006766_00419/full/full/0/default.jpg"
"confirme","NDVC-AB.xml","NDVC-AB_0640","598","faturi, qaod","futuri, quod","corriger les deux mots","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10006767_00162/full/full/0/default.jpg"
"confirme","NDVC-AB.xml","NDVC-AB_0693","648","apod","apud","corriger apod en apud","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10006767_00212/full/full/0/default.jpg"
"confirme","SCHA-PR.xml","SCHA-PR_0012","11","sanctiChristofori","sancti Christofori","ajouter une espace","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k486066q/f102/full/full/0/default.jpg"
"confirme","SCOR-EG.xml","SCOR-EG_0014","27","StephaniBerruarii","Stephani Berruarii","ajouter une espace","https://archive.org/download/cartulairedesain00orl/page/n158_w800.jpg"
"confirme","SCOR-EG.xml","SCOR-EG_0096","178","anao ab incarnatione","anno ab incarnatione","corriger anao en anno","https://archive.org/download/cartulairedesain00orl/page/n315_w800.jpg"
"confirme","SCOR-EG.xml","SCOR-EG_0178","267","homnibus","hominibus","corriger homnibus en hominibus","https://archive.org/download/cartulairedesain00orl/page/n404_w800.jpg"
"confirme","SCOR-EG.xml","SCOR-EG_0263","357-358","JohannesBelehere puis pb 358","Johannes en fin de p. 357; Belehere en tête de p. 358","ajouter une espace et placer pb 358 entre les deux mots","https://archive.org/download/cartulairedesain00orl/page/n494_w800.jpg"
"confirme","SCOR-EG.xml","SCOR-EG_0289","385","SanctiPaterni","Sancti Paterni","ajouter une espace","https://archive.org/download/cartulairedesain00orl/page/n522_w800.jpg"
"confirme","SMCP-PR.xml","SMCP-PR_0214","40","Sancli Leonorii","Sancti Leonorii","corriger Sancli en Sancti","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2557140/f43/full/full/0/default.jpg"
"confirme","SMCP-PR.xml","SMCP-PR_0215","43","MaroIles-en-Brie","Marolles-en-Brie","corriger le I majuscule en l minuscule","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2557140/f46/full/full/0/default.jpg"
"repetition_confirmee","SMCP-PR.xml","SMCP-PR_0263","123","MaroIles-en-Brie","Marolles-en-Brie","même note que l'occurrence confirmée de la p. 43","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2557140/f126/full/full/0/default.jpg"
"repetition_confirmee","SMCP-PR.xml","SMCP-PR_0406","313","MaroIles-en-Brie","Marolles-en-Brie","même note que l'occurrence confirmée de la p. 43","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2557140/f316/full/full/0/default.jpg"
"confirme","SMPA-AB/SMPA-AB-03.xml","SMPA-AB-03_64","137","Marni?res, peut-?tre la Marni?re; Sablonni?re, situ?e; ? la lisi?re; qu?il s?agisse; Marni?re situ?e ? Pamfou","Marnières, peut-être la Marnière; Sablonnière, située; à la lisière; qu’il s’agisse; Marnière située à Pamfou","remplacer les 12 points d'interrogation de corruption par les caractères imprimés","https://www.persee.fr/renderPage/dirht_0073-8212_1976_cat_12_3_1046/dirht_0073-8212_1976_cat_12_3_T2_0137_0000_1168.jpg"
"confirme","STEP-AB.xml","STEP-AB_0050","53","SanctiThome de Sparnone","Sancti Thome de Sparnone","ajouter une espace","https://gallica.bnf.fr/iiif/ark:/12148/bpt6k486068g/f63/full/full/0/default.jpg"
