file,total_witness_n_with_hi,match,mismatch,first_hi_empty,has_hi_but_no_direct_hi,parse_error,path
S-Germain-des-Pres_tomes1-2.xml,1275,0,1275,0,0,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\S-Germain-des-Pres_tomes1-2.xml
S-Germain-des-Pres_tomes1-2.xml,1272,0,1272,0,0,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\S-Germain-des-Pres_tomes1-2.xml
Micy.xml,780,1,767,0,12,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Micy.xml
Micy.xml,780,1,767,0,12,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Micy.xml
Cartulaire_Delaforge-Saint-Antoine_AB_XXVIII_1010.xml,445,0,445,0,0,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Cartulaire_Delaforge-Saint-Antoine_AB_XXVIII_1010.xml
Cartulaire_Delaforge-Saint-Antoine_AB_XXVIII_1010.xml,445,0,445,0,0,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Cartulaire_Delaforge-Saint-Antoine_AB_XXVIII_1010.xml
Chartes Saint-Magloire - Tome 2 - CRC.xml,383,21,362,0,0,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Chartes Saint-Magloire - Tome 2 - CRC.xml
Chartes Saint-Magloire - Tome 2 - CRC.xml,383,21,362,0,0,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Chartes Saint-Magloire - Tome 2 - CRC.xml
Chartes Saint-Magloire - Tome 3.xml,319,40,278,0,1,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Chartes Saint-Magloire - Tome 3.xml
Chartes Saint-Magloire - Tome 3.xml,319,40,278,0,1,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Chartes Saint-Magloire - Tome 3.xml
Cartulaire de Val-Notre-Dame.xml,43,0,43,0,0,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Cartulaire de Val-Notre-Dame.xml
Cartulaire de Val-Notre-Dame.xml,43,0,43,0,0,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Cartulaire de Val-Notre-Dame.xml
Paris-S-Martin-des-Champs.xml,1228,0,0,0,1228,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Paris-S-Martin-des-Champs.xml
Paris-S-Martin-des-Champs.xml,1228,0,0,0,1228,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Paris-S-Martin-des-Champs.xml
Corbeil-S-Spire.xml,122,0,0,0,122,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Corbeil-S-Spire.xml
Corbeil-S-Spire.xml,122,0,0,0,122,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Corbeil-S-Spire.xml
Paris-S-Merri.xml,57,0,0,0,57,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Paris-S-Merri.xml
Paris-S-Merri.xml,57,0,0,0,57,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Paris-S-Merri.xml
S-Germain-en-Laye.xml,26,0,0,0,26,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\S-Germain-en-Laye.xml
S-Germain-en-Laye.xml,26,0,0,0,26,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\S-Germain-en-Laye.xml
Vaux-de-Cernay.xml,25,0,0,0,25,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Vaux-de-Cernay.xml
Vaux-de-Cernay.xml,25,0,0,0,25,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Vaux-de-Cernay.xml
Montmartre.xml,9,0,0,0,9,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Montmartre.xml
Montmartre.xml,9,0,0,0,9,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Montmartre.xml
Port-Royal.xml,9,0,0,0,9,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Port-Royal.xml
Port-Royal.xml,9,0,0,0,9,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Port-Royal.xml
Orleans-S-Croix.xml,8,0,0,0,8,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Orleans-S-Croix.xml
Orleans-S-Croix.xml,8,0,0,0,8,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Orleans-S-Croix.xml
Pontoise-Hotel-Dieu.xml,8,0,0,0,8,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Pontoise-Hotel-Dieu.xml
Pontoise-Hotel-Dieu.xml,8,0,0,0,8,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Pontoise-Hotel-Dieu.xml
Pontoise-S-Martin.xml,8,0,0,0,8,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Pontoise-S-Martin.xml
Pontoise-S-Martin.xml,8,0,0,0,8,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Pontoise-S-Martin.xml
Roche.xml,8,0,0,0,8,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Roche.xml
Roche.xml,8,0,0,0,8,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Roche.xml
Chartres-N-D.xml,7,0,0,0,7,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\Chartres-N-D.xml
Chartres-N-D.xml,7,0,0,0,7,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\Chartres-N-D.xml
S-Christophe-en-Halatte.xml,6,0,0,0,6,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\S-Christophe-en-Halatte.xml
S-Christophe-en-Halatte.xml,6,0,0,0,6,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\S-Christophe-en-Halatte.xml
S-Gondon.xml,1,0,0,0,1,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\S-Gondon.xml
S-Gondon.xml,1,0,0,0,1,,C:\Users\mpopinea\Desktop\Bac_a_sable\data\n\S-Gondon.xml
