id	biblissima_lieux	biblissima1_collectivités	Dico-topo	thenca	koha
SADC	https://portail.biblissima.fr/fr/ark:/43093/ldata5a580184507cbc4acc5d5b19f7f472ea173885e6	https://portail.biblissima.fr/fr/ark:/43093/cdata662f7c36bd8771a5827ee7d4f8e168eb9dea2ba7		https://bibnum.chartes.psl.eu/s/thenca/item/58742	https://catalogue.chartes.psl.eu/cgi-bin/koha/opac-detail.pl?biblionumber=94336
VNDP		https://portail.biblissima.fr/fr/ark:/43093/cdata90f5d7899f482b637a58d34a24fddbbb465c621d			
NDP_1	https://portail.biblissima.fr/fr/ark:/43093/ldata5a580184507cbc4acc5d5b19f7f472ea173885e6				
NDP_2	https://portail.biblissima.fr/fr/ark:/43093/ldata5a580184507cbc4acc5d5b19f7f472ea173885e6				
NDP_3	https://portail.biblissima.fr/fr/ark:/43093/ldata5a580184507cbc4acc5d5b19f7f472ea173885e6				
NDP_4	https://portail.biblissima.fr/fr/ark:/43093/ldata5a580184507cbc4acc5d5b19f7f472ea173885e6				
magloire_t2	https://portail.biblissima.fr/fr/ark:/43093/ldata5a580184507cbc4acc5d5b19f7f472ea173885e6	https://portail.biblissima.fr/fr/ark:/43093/cdataa0a488e4ae572d59074a8ac28d9cd9218ceca690			
magloire_t3	https://portail.biblissima.fr/fr/ark:/43093/ldata5a580184507cbc4acc5d5b19f7f472ea173885e6	https://portail.biblissima.fr/fr/ark:/43093/cdataa0a488e4ae572d59074a8ac28d9cd9218ceca690			
Chartres-N-D	https://portail.biblissima.fr/fr/ark:/43093/ldata6b4886cc6687528a20cf85ab704f1817eebf5ebd	https://portail.biblissima.fr/fr/ark:/43093/cdata0c593b40d6a09b356b1556945cf1df8f77f4ae41	https://dicotopo.cths.fr/places/P34935625		
Corbeil-S-Spire	https://portail.biblissima.fr/fr/ark:/43093/ldata2722ad9fcff1e027bc910d48d351778cbea45a24				
Epernon			https://dicotopo.cths.fr/places/P04094768		
Maintenon			https://dicotopo.cths.fr/places/P78583769		
Micy		https://portail.biblissima.fr/fr/ark:/43093/cdata9e83e2e5f1c3c06508ec09de1a1984eb899f1925			
Montmartre	https://portail.biblissima.fr/fr/ark:/43093/ldata5a580184507cbc4acc5d5b19f7f472ea173885e6	https://portail.biblissima.fr/fr/ark:/43093/cdatab83de2360052fbee3df4b9a9075ae3301b2a770d			
Morienval	https://portail.biblissima.fr/fr/ark:/43093/ldata053a3725024f2be18a96280836f258f43174b923	https://portail.biblissima.fr/fr/ark:/43093/cdataa84e4a72100e230f62029e41708b7a172a0b1384	https://dicotopo.cths.fr/places/P16255066		
Orleans-S-Croix	https://portail.biblissima.fr/fr/ark:/43093/ldata16122fdb64ccf53b10b18f775bf186f72ba52b8c	https://portail.biblissima.fr/fr/ark:/43093/cdatab1e276c0e5d6471c944ba3d823a414da3854a98d			
Paris-S-Martin-des-Champs	https://portail.biblissima.fr/fr/ark:/43093/ldata5a580184507cbc4acc5d5b19f7f472ea173885e6	https://portail.biblissima.fr/fr/ark:/43093/cdata2e7eeb7b5321f570eaacf3e4e529f7a44ad0a5eb			
Paris-S-Merri	https://portail.biblissima.fr/fr/ark:/43093/ldata5a580184507cbc4acc5d5b19f7f472ea173885e6				
Pontoise-Hotel-Dieu	https://portail.biblissima.fr/fr/ark:/43093/ldata1f01a340e60ce421bc7bf024f76cadb4bc450949				
Pontoise-S-Martin	https://portail.biblissima.fr/fr/ark:/43093/ldata1f01a340e60ce421bc7bf024f76cadb4bc450949				
S-Christophe-en-Halatte			https://dicotopo.cths.fr/places/P21499021		
SGDP	https://portail.biblissima.fr/fr/ark:/43093/ldata5a580184507cbc4acc5d5b19f7f472ea173885e6	https://portail.biblissima.fr/fr/ark:/43093/cdata223faf58569b9b87394798921a4355bec6bec38b			
S-Germain-en-Laye	https://portail.biblissima.fr/fr/ark:/43093/ldata7d1a90212f93e97e9445aaece79779bc3bbcaed5				
S-Leu-d-Esserent			https://dicotopo.cths.fr/places/P70374693		
Vaux-de-Cernay	https://portail.biblissima.fr/fr/ark:/43093/ldata76d4b2c89cd59af7de2f890033bc51058cabd133	https://portail.biblissima.fr/fr/ark:/43093/cdata5d6310e74420af1e736742fd99491a397bb8fbe5			
